model	nDCG	Recall	MAP	PopREO	PopRSP	APLT	ACLT	ARP	ItemCoverage	Gini	EFD	EPC
NGCF_seed=42_e=500_bs=512_lr=0$001_factors=32_l_w=0$0001_n_layers=3_weight_size=64_node_dropout=0$1_message_dropout=0$1_it=480	0.04768487878599289	0.08438383296259476	0.01305283767754437	0.4873079331924188	0.7767294550549438	0.0970948864428034	1.941897728856068	24.410160930751008	9385.0	0.35571634738361013	0.13507654599520025	0.011164059393079054
NGCF_seed=42_e=500_bs=512_lr=0$001_factors=32_l_w=0$0001_n_layers=4_weight_size=64_node_dropout=0$1_message_dropout=0$1_it=460	0.04633419046936308	0.07958253267540713	0.012918866941200575	0.509723444492295	0.7690340617006824	0.10049811899122198	2.0099623798244393	24.057168733454088	9456.0	0.3657865646743944	0.13131578370870572	0.010878137838196586
NGCF_seed=42_e=500_bs=512_lr=0$0005_factors=16_l_w=0$0001_n_layers=2_weight_size=64_node_dropout=0$1_message_dropout=0$1_it=180	0.040289711673282144	0.07672610309985757	0.010898252928454888	0.7670452003239876	0.9053509099426955	0.04077609028842134	0.8155218057684269	37.677988713947336	6698.0	0.15155843440447647	0.10947063760177125	0.009620745439691464
NGCF_seed=42_e=500_bs=512_lr=0$0005_factors=8_l_w=0$0001_n_layers=3_weight_size=64_node_dropout=0$1_message_dropout=0$1_it=320	0.036671060824521734	0.07213801644896643	0.009866192387846313	0.7565209646523524	0.8869299392066715	0.04877734429427338	0.9755468858854675	31.547157586735405	6669.0	0.1911633035869168	0.10116277808079423	0.008776861700286067
NGCF_seed=42_e=500_bs=512_lr=0$0005_factors=16_l_w=0$0001_n_layers=3_weight_size=64_node_dropout=0$1_message_dropout=0$1_it=340	0.044458995361446645	0.08323467946476305	0.012166128649967769	0.6738760609588293	0.8514703307937079	0.0642399331196879	1.2847986623937577	32.04902466211509	8255.0	0.2472042084787398	0.12279722631521701	0.01054340170546892
NGCF_seed=42_e=500_bs=512_lr=0$001_factors=8_l_w=0$0001_n_layers=2_weight_size=64_node_dropout=0$1_message_dropout=0$1_it=120	0.0333854675136617	0.06621834219344583	0.009030875351308034	0.8190067890029679	0.9206093486227993	0.034164692768566256	0.683293855371325	35.682774836282576	5685.0	0.1420210169717525	0.09152306291275139	0.008048373136877228
NGCF_seed=42_e=500_bs=512_lr=0$001_factors=64_l_w=0$0001_n_layers=1_weight_size=64_node_dropout=0$1_message_dropout=0$1_it=500	0.05600041965624287	0.0925880675328102	0.0156399463460999	0.473281767798188	0.8086511024312273	0.08301867075379686	1.660373415075937	24.78649505364358	9363.0	0.32894508376122356	0.15998027446494037	0.01311859157431911
NGCF_seed=42_e=500_bs=512_lr=0$001_factors=32_l_w=0$0001_n_layers=2_weight_size=64_node_dropout=0$1_message_dropout=0$1_it=440	0.04448373049858326	0.07914739169377324	0.012223206601696287	0.509748513729611	0.7917356069240468	0.09046955552459245	1.809391110491849	24.983851191305558	9279.0	0.3443950259311547	0.12657739861960218	0.010495586737287165
NGCF_seed=42_e=500_bs=512_lr=0$001_factors=64_l_w=0$0001_n_layers=4_weight_size=64_node_dropout=0$1_message_dropout=0$1_it=500	0.058534482287515885	0.09600085542325289	0.01643672953436327	0.4862445420825813	0.7482754734510033	0.10969764525567785	2.1939529051135573	22.813794064372303	9630.0	0.37639145231139004	0.16850608560368477	0.013798928913561303
NGCF_seed=42_e=500_bs=512_lr=0$001_factors=64_l_w=0$0001_n_layers=2_weight_size=64_node_dropout=0$1_message_dropout=0$1_it=500	0.05756865898962113	0.09412857284633384	0.016221193089863882	0.47308991739017164	0.7883322668994519	0.09197087919743627	1.839417583948725	23.896412149923364	9440.0	0.34484520514547534	0.16455658254190106	0.013511633078070386
NGCF_seed=42_e=500_bs=512_lr=0$0005_factors=64_l_w=0$0001_n_layers=1_weight_size=64_node_dropout=0$1_message_dropout=0$1_it=500	0.05258722117751774	0.09061589963425909	0.014483603287196722	0.5182463200981555	0.8289749174618325	0.0740908457572802	1.481816915145604	25.812780409641913	9155.0	0.3133382472702736	0.14791137623138897	0.012239343451382065
NGCF_seed=42_e=500_bs=512_lr=0$001_factors=16_l_w=0$0001_n_layers=1_weight_size=64_node_dropout=0$1_message_dropout=0$1_it=480	0.035687545221563824	0.06700920516444897	0.00991924973589856	0.5531768396071527	0.7602151340168989	0.10440295388045144	2.088059077609029	26.998028424132645	9218.0	0.3372029468379588	0.10087435754590594	0.008516746655740851
NGCF_seed=42_e=500_bs=512_lr=0$001_factors=8_l_w=0$0001_n_layers=4_weight_size=64_node_dropout=0$1_message_dropout=0$1_it=280	0.034985361087094886	0.0677383601417147	0.00975161418766946	0.7066913821872608	0.8686700150344675	0.056729831405879894	1.1345966281175979	31.12967465514839	7458.0	0.22594713280102918	0.09918014307535734	0.008584228883877406
NGCF_seed=42_e=500_bs=512_lr=0$0005_factors=16_l_w=0$0001_n_layers=4_weight_size=64_node_dropout=0$1_message_dropout=0$1_it=440	0.04448090281330827	0.08321329195497487	0.012180668039848347	0.6085329555848785	0.820538320495327	0.07779364637034973	1.5558729274069947	29.185878500766336	8658.0	0.2861683144786502	0.12477721689739896	0.010602429107661824
NGCF_seed=42_e=500_bs=512_lr=0$001_factors=16_l_w=0$0001_n_layers=2_weight_size=64_node_dropout=0$1_message_dropout=0$1_it=80	0.03821429272914798	0.07420216508883193	0.010374989100481227	0.8120173802278533	0.9050618244573523	0.04090149087362409	0.8180298174724815	36.04055663926432	6735.0	0.152347174755592	0.10446699995406225	0.009185014283837114
NGCF_seed=42_e=500_bs=512_lr=0$0005_factors=32_l_w=0$0001_n_layers=4_weight_size=64_node_dropout=0$1_message_dropout=0$1_it=340	0.05088940898620335	0.09187246068537878	0.013993458105376375	0.5929765846013717	0.7934497637945095	0.08971366866378709	1.7942733732757419	28.73103664483768	9197.0	0.30839506233961445	0.14213290384801464	0.011962842806926458
NGCF_seed=42_e=500_bs=512_lr=0$0005_factors=32_l_w=0$0001_n_layers=1_weight_size=64_node_dropout=0$1_message_dropout=0$1_it=480	0.04624330261749414	0.0847593107247613	0.012662436332774661	0.5502800404704713	0.8071547777693359	0.0836770238261112	1.6735404765222237	27.957273233941756	9157.0	0.3077032063212546	0.13061449753072435	0.010933641607535422
NGCF_seed=42_e=500_bs=512_lr=0$001_factors=8_l_w=0$0001_n_layers=3_weight_size=64_node_dropout=0$1_message_dropout=0$1_it=260	0.03430941398452878	0.06916972984025184	0.009318991467720193	0.7161840146521421	0.8719936583559563	0.055280757976870556	1.105615159537411	32.7499372997074	7214.0	0.21575131535994863	0.09605128754612358	0.008361083544264137
NGCF_seed=42_e=500_bs=512_lr=0$0005_factors=8_l_w=0$0001_n_layers=1_weight_size=64_node_dropout=0$1_message_dropout=0$1_it=180	0.03194712515183894	0.06211725917329677	0.008774892047858645	0.8871712580196605	0.9511551456738786	0.020973247875156757	0.419464957503135	43.618116901212204	4112.0	0.08050894744878156	0.08523852321809272	0.007732194432264231
NGCF_seed=42_e=500_bs=512_lr=0$0005_factors=32_l_w=0$0001_n_layers=3_weight_size=64_node_dropout=0$1_message_dropout=0$1_it=300	0.04955994894179015	0.09078224427380588	0.013647362481952875	0.5760760332221558	0.8213553345608308	0.07743486136268636	1.5486972272537272	30.822659189076216	8941.0	0.2827369602882006	0.13926716885993692	0.011768628592463382
NGCF_seed=42_e=500_bs=512_lr=0$001_factors=16_l_w=0$0001_n_layers=3_weight_size=64_node_dropout=0$1_message_dropout=0$1_it=160	0.04287197808831778	0.0806039390133711	0.01157660945028591	0.6487410043352744	0.8519882442621102	0.06401351539640518	1.2802703079281037	32.138226278389304	8105.0	0.23885775101711082	0.11744596896430914	0.010061744086123897
