model	nDCG	Recall	MAP	PopREO	PopRSP	APLT	ACLT	ARP	ItemCoverage	Gini	EFD	EPC	REO-ProbToBeRanked_items:Categories-0	REO-ProbToBeRanked_items:Categories-1	REO-ProbToBeRanked_items:Categories-2	REO-ProbToBeRanked_items:Categories-3	REO-ProbToBeRanked_items:Categories-4	REO-ProbToBeRanked_items:Categories-5	REO-ProbToBeRanked_items:Categories-6	REO-ProbToBeRanked_items:Categories-7	REO-ProbToBeRanked_items:Categories-8	REO-ProbToBeRanked_items:Categories-9	REO-ProbToBeRanked_items:Categories-10	REO-ProbToBeRanked_items:Categories-11	REO-ProbToBeRanked_items:Categories-12	REO-ProbToBeRanked_items:Categories-13	REO-ProbToBeRanked_items:Categories-14	REO-ProbToBeRanked_items:Categories-15	REO-ProbToBeRanked_items:Categories-16	REO-ProbToBeRanked_items:Categories-17	REO-ProbToBeRanked_items:Categories-18	REO-ProbToBeRanked_items:Categories-19	REO-ProbToBeRanked_items:Categories-20	REO-ProbToBeRanked_items:Categories-21	REO-ProbToBeRanked_items:Categories-22	REO-ProbToBeRanked_items:Categories-23	REO-ProbToBeRanked_items:Categories-24	REO-ProbToBeRanked_items:Categories-25	REO-ProbToBeRanked_items:Categories-26	REO-ProbToBeRanked_items:Categories-27	REO-ProbToBeRanked_items:Categories-28	REO-ProbToBeRanked_items:Categories-29	REO-ProbToBeRanked_items:Categories-30	REO-ProbToBeRanked_items:Categories-31	REO-ProbToBeRanked_items:Categories-32	REO-ProbToBeRanked_items:Categories-33	REO-ProbToBeRanked_items:Categories-34	REO_items:Categories	RSP-ProbToBeRanked_items:Categories-0	RSP-ProbToBeRanked_items:Categories-1	RSP-ProbToBeRanked_items:Categories-2	RSP-ProbToBeRanked_items:Categories-3	RSP-ProbToBeRanked_items:Categories-4	RSP-ProbToBeRanked_items:Categories-5	RSP-ProbToBeRanked_items:Categories-6	RSP-ProbToBeRanked_items:Categories-7	RSP-ProbToBeRanked_items:Categories-8	RSP-ProbToBeRanked_items:Categories-9	RSP-ProbToBeRanked_items:Categories-10	RSP-ProbToBeRanked_items:Categories-11	RSP-ProbToBeRanked_items:Categories-12	RSP-ProbToBeRanked_items:Categories-13	RSP-ProbToBeRanked_items:Categories-14	RSP-ProbToBeRanked_items:Categories-15	RSP-ProbToBeRanked_items:Categories-16	RSP-ProbToBeRanked_items:Categories-17	RSP-ProbToBeRanked_items:Categories-18	RSP-ProbToBeRanked_items:Categories-19	RSP-ProbToBeRanked_items:Categories-20	RSP-ProbToBeRanked_items:Categories-21	RSP-ProbToBeRanked_items:Categories-22	RSP-ProbToBeRanked_items:Categories-23	RSP-ProbToBeRanked_items:Categories-24	RSP-ProbToBeRanked_items:Categories-25	RSP-ProbToBeRanked_items:Categories-26	RSP-ProbToBeRanked_items:Categories-27	RSP-ProbToBeRanked_items:Categories-28	RSP-ProbToBeRanked_items:Categories-29	RSP-ProbToBeRanked_items:Categories-30	RSP-ProbToBeRanked_items:Categories-31	RSP-ProbToBeRanked_items:Categories-32	RSP-ProbToBeRanked_items:Categories-33	RSP-ProbToBeRanked_items:Categories-34	RSP_items:Categories
BPRMF_seed=42_e=500_bs=1_f=64_lr=0$0001_bias_reg=0$001_u_reg=0$1_pos_i_reg=0$0025_neg_i_reg=0$00025_up_neg_i_f=True_up_u=True_up_i=True_up_b=True_it=500	0.010676780784468041	0.014132583267996065	0.007510498714007259	1.0	1.0	0.0	0.0	541.261166055968	24.0	0.0003319060274975527	0.06414045810340191	0.006498495018386629	0.006076156875322963	0.0	0.0	0.06506364922206506	0.030834512022630836	0.0	0.018060116190957314	0.0	0.0	0.005336495701156241	0.0	0.0	0.0	0.0	0.0	0.0	0.023421095138103698	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2611764705882353	0.0	0.0	0.0	0.0	0.0	3.8052733225925732	0.00031012327985933106	0.0	0.0	0.0027295096659949265	0.0005883927651217817	0.0	0.00040292250008324646	5.436674579074239e-06	0.0	0.00021725122045502323	0.0	0.0	0.0	0.0	0.0	0.0	0.0007950916581960443	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.011974095089772435	0.0	0.0	0.0	0.0	0.0	4.168052533122846
BPRMF_seed=42_e=500_bs=1_f=32_lr=0$0001_bias_reg=0$001_u_reg=0$1_pos_i_reg=0$0025_neg_i_reg=0$00025_up_neg_i_f=True_up_u=True_up_i=True_up_b=True_it=380	0.01078091804317424	0.014537318523061664	0.007493293381859808	1.0	1.0	0.0	0.0	541.2755666526152	23.0	0.00031835202293051257	0.06455231633496657	0.0065354454769553285	0.006022700949733611	0.0	0.0	0.08557284299858557	0.030834512022630836	0.0	0.017775953523617074	0.0	0.0	0.006324735645814804	0.0	0.0	0.0	0.0	0.0	0.0	0.023744144726215475	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2752941176470588	0.0	0.0	0.0	0.0	0.0	3.7400395782444407	0.00030608217089767367	0.0	0.0	0.002990810722262993	0.0005883927651217817	0.0	0.0003890808634280138	8.768829966248773e-07	0.0	0.0002183916468091178	0.0	0.0	0.0	0.0	0.0	0.0	0.0008023809703044557	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.012618431687217635	0.0	0.0	0.0	0.0	0.0	4.180946392480326
BPRMF_seed=42_e=500_bs=1_f=8_lr=0$0001_bias_reg=0$001_u_reg=0$1_pos_i_reg=0$0025_neg_i_reg=0$00025_up_neg_i_f=True_up_u=True_up_i=True_up_b=True_it=120	0.010698770815974689	0.01440485150005832	0.007503391912014111	1.0	1.0	0.0	0.0	540.2335581568792	21.0	0.0003123768983336328	0.06437430864793284	0.00652010695074105	0.005452504410113861	0.0	0.0	0.09759547383309759	0.030834512022630836	0.0	0.01761808537509472	0.0	0.0	0.007016503607075798	0.0	0.0	0.0	0.0	0.0	0.0	0.023744144726215475	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2776470588235294	0.0	0.0	0.0	0.0	0.0	3.6941937226318387	0.00027740571111835034	0.0	0.0	0.0034906847888764654	0.0005883927651217817	0.0	0.00038714032657043347	0.0	0.0	0.00029924187307045675	0.0	0.0	0.0	0.0	0.0	0.0	0.00080322918116798	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.012631326738554499	0.0	0.0	0.0	0.0	0.0	4.09138401740664
BPRMF_seed=42_e=500_bs=1_f=8_lr=0$005_bias_reg=0$001_u_reg=0$1_pos_i_reg=0$0025_neg_i_reg=0$00025_up_neg_i_f=True_up_u=True_up_i=True_up_b=True_it=500	0.017532698021234215	0.022661108060257645	0.012029379928630877	1.0	0.9998328899397573	6.485294594506956e-05	0.0006485294594506956	358.74722591523715	2253.0	0.0060265171651882055	0.11691357407277114	0.010905771253987383	0.019030309509809162	0.001310615989515072	0.009238891333040036	0.0586987270155587	0.028005657708628007	0.014705882352941176	0.026206112654710786	0.01725790987535954	0.00462254970109829	0.017590671014922423	0.0	0.0	0.0011341083073433513	0.0018018018018018018	0.0	0.007556675062972292	0.021805847197544824	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005494505494505495	0.0	0.0	0.0	0.16941176470588235	0.0	0.0	0.0	0.0	0.0	2.5715372485239794	0.0003603590224407304	7.129033586926292e-05	0.00022870489379734724	0.0015682351686635424	0.00033684439793262505	0.00029593379027629093	0.0004905303251917497	0.00018195322179966205	7.560585624301122e-05	0.0002761332337901186	1.9366436706369476e-06	2.8209049745248775e-06	2.844373283686962e-05	7.445337391611427e-05	2.1063850851084895e-06	0.00013224405654381946	0.000484328403072347	1.9664001211302477e-06	1.1188448151053e-06	1.6220012060056025e-05	0.0	2.754319308237404e-05	6.276773258971202e-05	8.818553228157388e-06	3.9317893524195495e-06	1.3132169102169048e-05	7.633311005898641e-06	0.0	1.337727769054678e-06	0.004339808728951428	1.2982629242074104e-05	0.0	0.00018075681487953022	0.0	0.0	2.838563531698255
BPRMF_seed=42_e=500_bs=1_f=64_lr=0$005_bias_reg=0$001_u_reg=0$05_pos_i_reg=0$0025_neg_i_reg=0$00025_up_neg_i_f=True_up_u=True_up_i=True_up_b=True_it=500	0.026504206817833987	0.032704854005963506	0.01860092250742077	0.9943431539368627	0.9999247996993192	2.91838256752813e-05	0.000291838256752813	408.45026103310744	3235.0	0.006124289769667168	0.18650615909851087	0.01662221743105799	0.029222572655512195	0.001310615989515072	0.020237571491421028	0.0884016973125884	0.03323903818953324	0.0	0.035741348825460977	0.02205177372962608	0.01000973168358126	0.025891886550054352	0.0	0.00819672131147541	0.003402324922030054	0.0018018018018018018	0.0	0.0109151973131822	0.04005814892586012	0.005494505494505495	0.005050505050505051	0.0	0.0	0.0	0.0069767441860465115	0.006802721088435374	0.0	0.0	0.0	0.0	0.0	0.1811764705882353	0.0	0.0	0.015873015873015872	0.0	0.0	2.11849476252766	0.00032394213007315783	3.7352720889583865e-05	0.00033971114950178484	0.0007787571961424645	0.00037677765257227764	5.494967470454619e-05	0.0005832183597480049	0.0002581543542063639	4.4570602964103385e-05	0.00016900818455483675	3.873287341273895e-06	7.522413265399673e-06	5.4685660130284876e-05	0.00011714452868452842	1.6851080680867915e-06	0.00012344611515213084	0.0004992251063629916	0.00017500961078059201	0.0001488063604090049	1.3357656990634374e-05	1.216589413238926e-05	5.8146740951678524e-06	1.093145904652288e-05	1.480257149012133e-05	1.1795368057258648e-05	0.0002047073418867528	9.541638757373302e-07	0.0	2.3410235958456864e-06	0.006593946896514717	9.412406200503726e-05	0.0	7.183924693930047e-05	0.0	3.249074013906037e-05	3.4218647279790875
BPRMF_seed=42_e=500_bs=1_f=8_lr=0$001_bias_reg=0$001_u_reg=0$1_pos_i_reg=0$0025_neg_i_reg=0$00025_up_neg_i_f=True_up_u=True_up_i=True_up_b=True_it=20	0.010707268759838353	0.014450752265826787	0.007443800547338275	1.0	1.0	0.0	0.0	540.2005317941567	21.0	0.00030943073559797085	0.06425529892994619	0.006506240526142475	0.00539904848452451	0.0	0.0	0.10183875530410184	0.030834512022630836	0.0	0.01761808537509472	0.0	0.0	0.007411799584939223	0.0	0.0	0.0	0.0	0.0	0.0	0.023744144726215475	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2776470588235294	0.0	0.0	0.0	0.0	0.0	3.673885881001303	0.0002680669294631769	0.0	0.0	0.0032139458146231963	0.0005883927651217817	0.0	0.00038715322050304193	0.0	0.0	0.000370068351903701	0.0	0.0	0.0	0.0	0.0	0.0	0.00080322918116798	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.012631742707952462	0.0	0.0	0.0	0.0	0.0	4.119471859189862
BPRMF_seed=42_e=500_bs=1_f=64_lr=0$0005_bias_reg=0$001_u_reg=0$1_pos_i_reg=0$0025_neg_i_reg=0$00025_up_neg_i_f=True_up_u=True_up_i=True_up_b=True_it=500	0.010780571977823278	0.014497067423745687	0.0075482163638394386	1.0	1.0	0.0	0.0	542.9930769480203	25.0	0.00033104725195054474	0.0648011204394743	0.006563227550154188	0.006379073786995955	0.0	0.0	0.07072135785007072	0.030834512022630836	0.0	0.01824955796918414	0.0	0.0	0.005336495701156241	0.0	0.0	0.0	0.0	0.0	0.0	0.023582619932159588	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.27294117647058824	0.0	0.0	0.0	0.0	0.0	3.8145576463509476	0.0002993972518441857	0.0	0.0	0.003018398853477291	0.0005883927651217817	0.0	0.00041327632796787786	2.5429606902121444e-06	0.0	0.00019787897804533715	0.0	0.0	0.0	0.0	0.0	0.0	0.0008000748970192491	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01232558923105145	0.0	0.0	0.0	0.0	0.0	4.15279697852979
BPRMF_seed=42_e=500_bs=1_f=8_lr=0$001_bias_reg=0$001_u_reg=0$05_pos_i_reg=0$0025_neg_i_reg=0$00025_up_neg_i_f=True_up_u=True_up_i=True_up_b=True_it=20	0.01071191498781164	0.014450752265826787	0.00744960900364772	1.0	1.0	0.0	0.0	540.2047634488796	21.0	0.00030957106950058044	0.06428230135730773	0.006508923807016601	0.00539904848452451	0.0	0.0	0.10183875530410184	0.030834512022630836	0.0	0.01761808537509472	0.0	0.0	0.007411799584939223	0.0	0.0	0.0	0.0	0.0	0.0	0.023744144726215475	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2776470588235294	0.0	0.0	0.0	0.0	0.0	3.673885881001303	0.0002682076646011451	0.0	0.0	0.0032249524783719056	0.0005883927651217817	0.0	0.0003871467735367377	0.0	0.0	0.00036829768993286986	0.0	0.0	0.0	0.0	0.0	0.0	0.00080322918116798	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.012631742707952462	0.0	0.0	0.0	0.0	0.0	4.118121188723439
BPRMF_seed=42_e=500_bs=1_f=32_lr=0$0005_bias_reg=0$001_u_reg=0$1_pos_i_reg=0$0025_neg_i_reg=0$00025_up_neg_i_f=True_up_u=True_up_i=True_up_b=True_it=440	0.010676985152260957	0.014257184164582368	0.007560238607370486	1.0	1.0	0.0	0.0	542.2950873893446	23.0	0.00031801997720626307	0.06433560465457361	0.006518886581568027	0.005773239963649971	0.0	0.0	0.08557284299858557	0.030834512022630836	0.0	0.017775953523617074	0.0	0.0	0.005336495701156241	0.0	0.0	0.0	0.0	0.0	0.0	0.023744144726215475	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2776470588235294	0.0	0.0	0.0	0.0	0.0	3.7601639060933123	0.00031051867858028926	0.0	0.0	0.003447372852306868	0.0005883927651217817	0.0	0.000391981998264928	1.2276361952748283e-06	0.0	0.00014378375427545465	0.0	0.0	0.0	0.0	0.0	0.0	0.0008029641152731287	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.012624671228187084	0.0	0.0	0.0	0.0	0.0	4.1242927157473
BPRMF_seed=42_e=500_bs=1_f=16_lr=0$0001_bias_reg=0$001_u_reg=0$1_pos_i_reg=0$0025_neg_i_reg=0$00025_up_neg_i_f=True_up_u=True_up_i=True_up_b=True_it=320	0.010793414415868306	0.014611657734302865	0.007492270403843412	1.0	1.0	0.0	0.0	541.1955997276176	23.0	0.0003131900282088429	0.06472228495641898	0.006551575176658198	0.006058338233459846	0.0	0.0	0.09123055162659123	0.030834512022630836	0.0	0.01761808537509472	0.0	0.0	0.006818855618144086	0.0	0.0	0.0	0.0	0.0	0.0	0.023744144726215475	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2776470588235294	0.0	0.0	0.0	0.0	0.0	3.718948401751984	0.0002983953516953171	0.0	0.0	0.0030359809267382167	0.0005883927651217817	0.0	0.000387610955110644	8.768829966248773e-08	0.0	0.0002525894318220338	0.0	0.0	0.0	0.0	0.0	0.0	0.00080322918116798	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.012601792911299101	0.0	0.0	0.0	0.0	0.0	4.165986434736241
