model	nDCG	Recall	MAP	PopREO	PopRSP	APLT	ACLT	ARP	ItemCoverage	Gini	EFD	EPC
UserKNN_nn=10_sim=manhattan_imp=standard_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.01719457512362293	0.017814643521712484	0.013797788514543273	0.31205221152443074	0.019666802730472492	0.4466876357858556	2.2334381789292777	27.84969032718311	18182.0	0.10334389141430556	0.17130757103774705	0.012182325917037953
UserKNN_nn=100_sim=manhattan_imp=standard_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.04864064483941139	0.048954245253473624	0.03994498308418993	0.5601401738533802	0.26514878831943073	0.31073640520120627	1.5536820260060313	69.30299944874997	18380.0	0.1253827809683532	0.4534252073378591	0.03403047291292581
UserKNN_nn=20_sim=jaccard_imp=standard_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.06417538401095575	0.0553013850188472	0.061798480279300017	0.3885258527785362	0.6566199849690809	0.1385842601900191	0.6929213009500956	67.52956321540906	24428.0	0.3305002754063462	0.7683211192185654	0.05499592016855418
UserKNN_nn=20_sim=euclidean_imp=standard_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.0261573319166373	0.027210202742212038	0.021115362582011955	0.38260384163899364	0.07366960231743219	0.40107007360809366	2.0053503680404683	39.97160089497065	18804.0	0.11949598138318118	0.25463760856318723	0.018457689147292632
UserKNN_nn=200_sim=manhattan_imp=standard_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.05683315727197261	0.05608310898631299	0.04721942994260514	0.6058275469600821	0.3380691341758878	0.277434417458413	1.3871720872920652	86.46182431336945	17724.0	0.11542883270621696	0.5244327504141476	0.03995198327575345
UserKNN_nn=150_sim=euclidean_imp=standard_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.05556348088146323	0.05496043876069311	0.04609974383086352	0.5925864599442141	0.31904383748964804	0.2860663445637018	1.430331722818509	80.71092447874446	17307.0	0.11199209873845006	0.5155528792993554	0.03904287081430492
UserKNN_nn=100_sim=jaccard_imp=standard_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.10526058025261147	0.09063031399373227	0.10270588108131477	0.6312093935139887	0.8718019920933311	0.05047504782904763	0.2523752391452382	107.46258957813158	15504.0	0.14579780770058626	1.2022712355602867	0.089283703511873
UserKNN_nn=10_sim=cosine_imp=standard_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.04569813517976153	0.03972780149825766	0.043609066441843126	0.2345326646513369	0.5257310246237665	0.19437076429196795	0.9718538214598398	53.51438114076332	25885.0	0.378593812534073	0.552758018725084	0.038897953816729364
UserKNN_nn=30_sim=euclidean_imp=standard_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.030960159392725457	0.031847553031642495	0.024986002572500186	0.42188514850055836	0.11107321401966548	0.3830863516975259	1.9154317584876293	46.187340704951524	18914.0	0.12428034160664558	0.2968830501922404	0.021700941274950397
UserKNN_nn=20_sim=manhattan_imp=standard_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.024795867384930673	0.025364903611291185	0.02018320957229482	0.3659839862387358	0.06530066097176435	0.40511689743506596	2.02558448717533	38.873543240701714	19173.0	0.12405460316574812	0.24196633518663027	0.017509230373224258
UserKNN_nn=30_sim=jaccard_imp=standard_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.07444744619739395	0.06404855337432892	0.07189327366862305	0.448594237070348	0.7216024001982528	0.1115146405525471	0.5575732027627355	76.72010765589026	22762.0	0.2823190047496692	0.8825621106239269	0.06371896161895509
UserKNN_nn=50_sim=euclidean_imp=standard_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.03715413157837415	0.03814378028629861	0.030175102954051687	0.4600395136168967	0.18682802013715014	0.3471707902331464	1.7358539511657316	53.593657381886565	19134.0	0.13370758679673433	0.35521712174177	0.02617918421123708
UserKNN_nn=10_sim=euclidean_imp=standard_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.018069119991010314	0.01887641818495244	0.01440524444156209	0.30049089283196134	0.01458816855028423	0.4441778267777814	2.2208891338889067	28.49774636012841	18033.0	0.10113429483917091	0.17958893039342458	0.012784460784998257
UserKNN_nn=200_sim=jaccard_imp=standard_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.11529888179979672	0.09938501293603243	0.11415026427575471	0.7692815051692719	0.9337828264768666	0.025889296021271768	0.12944648010635884	130.56230746781674	11668.0	0.09264073887273205	1.3051833951781153	0.0989381742118885
UserKNN_nn=100_sim=euclidean_imp=standard_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.05010327057363141	0.05071120038833487	0.04115405817309251	0.5683803983240383	0.27725748104665543	0.3051655371445248	1.525827685722624	71.13354518629008	17928.0	0.11986742547932405	0.46881677885139444	0.03517324778715572
UserKNN_nn=150_sim=manhattan_imp=standard_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.054425689583430144	0.05357921307371474	0.04517753493952463	0.6018062676470894	0.30871746479190815	0.29076818314471936	1.4538409157235967	79.1428450987386	17931.0	0.11870281416490003	0.5025911307012857	0.03811593751406052
UserKNN_nn=10_sim=jaccard_imp=standard_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.045861275874449645	0.03932036878263121	0.04438816649912989	0.2797594017404743	0.5376453073187275	0.18922144038392946	0.9461072019196471	53.96714549758423	26129.0	0.3820943128684887	0.5565774664735538	0.039383769251478844
UserKNN_nn=200_sim=euclidean_imp=standard_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.05744778534565969	0.05705596297666989	0.04780559248570533	0.6030542448405914	0.34640146719343995	0.2736664612990045	1.3683323064950226	88.01586951587277	17000.0	0.10820946654016894	0.5331662703139873	0.04055027163941611
UserKNN_nn=100_sim=cosine_imp=standard_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.10566373153680282	0.09063826735191938	0.10290973550806878	0.5951102317262855	0.8573601464783699	0.05625344531275333	0.2812672265637667	110.08996400661499	16391.0	0.15404796523414988	1.213013917720204	0.08973746599050851
UserKNN_nn=150_sim=jaccard_imp=standard_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.11230834367616233	0.09663012192692234	0.11037139120377877	0.7103269801619084	0.9115293602624792	0.03467687019682869	0.17338435098414345	120.29310937449334	13228.0	0.11301872806991542	1.2741969680413376	0.09573672991822872
UserKNN_nn=250_sim=jaccard_imp=standard_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.11774202503846042	0.10077726116425334	0.11769436968340954	0.8014880551652377	0.9471226713026301	0.02064269269431564	0.1032134634715782	139.68319335905832	10686.0	0.07974724925726495	1.3273963935221387	0.10141835143161856
UserKNN_nn=20_sim=cosine_imp=standard_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.06300507486031243	0.054382382622411095	0.06063739637039679	0.35758108367806013	0.6443073513337492	0.14375952527643568	0.7187976263821784	66.93842861311975	24503.0	0.3334808214343723	0.7578067288682626	0.05396062790781969
UserKNN_nn=50_sim=cosine_imp=standard_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.08704000018969103	0.07493890839675356	0.08402131500156727	0.4879099797609722	0.7762823950908343	0.08904958007717502	0.44524790038587503	89.62175816336456	20547.0	0.2268424390056507	1.0186623908425227	0.07406989250856195
UserKNN_nn=150_sim=cosine_imp=standard_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.11337981710566442	0.09713258796981904	0.11131716333214436	0.6429745936973584	0.8943942659822919	0.04147345893187197	0.2073672946593599	123.80253575018645	13986.0	0.11998881918821924	1.2954785581122024	0.09688027435790725
