model	nDCG	Recall	MAP	PopREO	PopRSP	APLT	ACLT	ARP	ItemCoverage	Gini	EFD	EPC
NGCF_seed=42_e=500_bs=512_lr=0$001_factors=8_l_w=0$0001_n_layers=2_weight_size=64_node_dropout=0$1_message_dropout=0$1_normalize=True_it=500	0.02309673672152528	0.022024284689793013	0.02180626263281343	0.9413707127563213	0.900076797485219	0.03921657641298356	0.1960828820649178	140.69360874217713	8242.0	0.06184831641135513	0.24945054470584854	0.020472463437308273
NGCF_seed=42_e=500_bs=512_lr=0$001_factors=8_l_w=0$0001_n_layers=4_weight_size=64_node_dropout=0$1_message_dropout=0$1_normalize=True_it=500	0.028314487760472382	0.026844642701892366	0.026418063707210563	0.8942228901724412	0.8894524944318885	0.043438503194007584	0.21719251597003794	123.67496352021791	10779.0	0.0873199027327245	0.30963950395350437	0.024790843083738946
NGCF_seed=42_e=500_bs=512_lr=0$0005_factors=64_l_w=0$0001_n_layers=1_weight_size=64_node_dropout=0$1_message_dropout=0$1_normalize=True_it=500	0.06113170139546271	0.05866844253852208	0.0549759503658787	0.7979696228284506	0.9569925470112243	0.016770971821394986	0.08385485910697493	99.37747657187326	14033.0	0.1332614150035355	0.6479380384301956	0.05005788626469581
NGCF_seed=42_e=500_bs=512_lr=0$001_factors=16_l_w=0$0001_n_layers=4_weight_size=64_node_dropout=0$1_message_dropout=0$1_normalize=True_it=500	0.033649710148087014	0.031809619323063844	0.030953662570122248	0.8631716415690497	0.9002892176921337	0.03913226758325497	0.19566133791627485	100.49596938940951	15141.0	0.14638746783090772	0.36840248126984443	0.028928474529864884
NGCF_seed=42_e=500_bs=512_lr=0$0005_factors=32_l_w=0$0001_n_layers=2_weight_size=64_node_dropout=0$1_message_dropout=0$1_normalize=True_it=500	0.04231503423937048	0.039820860789069164	0.03851108444934444	0.8591922856061963	0.9405219387452417	0.023236810532118426	0.1161840526605921	101.85925613671002	15148.0	0.14551653907068474	0.45655447253889486	0.03553758801302396
NGCF_seed=42_e=500_bs=512_lr=0$001_factors=16_l_w=0$0001_n_layers=2_weight_size=64_node_dropout=0$1_message_dropout=0$1_normalize=True_it=500	0.03041208904401769	0.02832045627108516	0.028132559421511723	0.8945118181946722	0.9010572836700613	0.03882745873731314	0.1941372936865657	103.48798599176368	14352.0	0.13712261168297102	0.33328297891145253	0.02629894882496257
NGCF_seed=42_e=500_bs=512_lr=0$001_factors=64_l_w=0$0001_n_layers=2_weight_size=64_node_dropout=0$1_message_dropout=0$1_normalize=True_it=500	0.06406647404349235	0.06014935452054415	0.059007209485824226	0.7872947205479202	0.946643788104716	0.02083076623755634	0.10415383118778171	94.35258601121956	14300.0	0.13745114120458612	0.6902694489859919	0.052994742773437964
NGCF_seed=42_e=500_bs=512_lr=0$0005_factors=64_l_w=0$0001_n_layers=2_weight_size=64_node_dropout=0$1_message_dropout=0$1_normalize=True_it=500	0.06353351191827822	0.05976994120693067	0.05760033291178918	0.7785554971765504	0.9538159235833357	0.018016148383540324	0.09008074191770161	96.7923214112001	14364.0	0.1380504535899041	0.678124843267983	0.05218055265096313
NGCF_seed=42_e=500_bs=512_lr=0$001_factors=64_l_w=0$0001_n_layers=3_weight_size=64_node_dropout=0$1_message_dropout=0$1_normalize=True_it=500	0.06398007598310108	0.06066673435728609	0.05800685279462153	0.7728729074831936	0.94471226642473	0.021589545705113653	0.10794772852556828	94.28072894711244	14624.0	0.1414811453445517	0.6891099298615313	0.05289971235271148
NGCF_seed=42_e=500_bs=512_lr=0$0005_factors=32_l_w=0$0001_n_layers=3_weight_size=64_node_dropout=0$1_message_dropout=0$1_normalize=True_it=500	0.04362670401091044	0.04185731563921741	0.03975312645243576	0.8332358017962763	0.9329102919254297	0.026233016634780636	0.13116508317390319	97.3761406011868	15661.0	0.15405971846388755	0.4778642523783863	0.03698948100339069
NGCF_seed=42_e=500_bs=512_lr=0$0005_factors=8_l_w=0$0001_n_layers=1_weight_size=64_node_dropout=0$1_message_dropout=0$1_normalize=True_it=500	0.022816239422227994	0.021969584691886913	0.021306786860793153	0.9447938101107058	0.9318898090003289	0.02663510489964007	0.13317552449820033	164.36179512954376	6851.0	0.0461574243662386	0.23972956159435477	0.02010938691794455
NGCF_seed=42_e=500_bs=512_lr=0$001_factors=64_l_w=0$0001_n_layers=4_weight_size=64_node_dropout=0$1_message_dropout=0$1_normalize=True_it=500	0.06389840814919408	0.060060167548930475	0.058030416031648234	0.7571301914128447	0.9361214070833105	0.024968384188851778	0.12484192094425889	91.13881124550082	15358.0	0.15252880551593928	0.6869192950329083	0.052654063320368524
