model	nDCG	Recall	MAP	PopREO	PopRSP	APLT	ACLT	ARP	ItemCoverage	Gini	EFD	EPC
NGCF_seed=42_e=500_bs=512_lr=0$001_factors=8_l_w=0$0001_n_layers=2_weight_size=64_node_dropout=0$1_message_dropout=0$1_normalize=True_it=500	0.03834133964563706	0.062223673710374794	0.0175301367389318	0.8634698314949834	0.8607677778203748	0.05488829080060962	1.0977658160121924	104.36236421414443	16552.0	0.12812302875384352	0.19975378157428497	0.015958382610484226
NGCF_seed=42_e=500_bs=512_lr=0$001_factors=8_l_w=0$0001_n_layers=4_weight_size=64_node_dropout=0$1_message_dropout=0$1_normalize=True_it=500	0.04578105064829048	0.07278661164110094	0.021054035424516924	0.7990983673334404	0.8437035558134269	0.06173514056876033	1.2347028113752068	95.20825415869515	20136.0	0.16352908250767628	0.24303345273968605	0.01902203709818498
NGCF_seed=42_e=500_bs=512_lr=0$0005_factors=64_l_w=0$0001_n_layers=1_weight_size=64_node_dropout=0$1_message_dropout=0$1_normalize=True_it=500	0.08502794149529119	0.12069401531603567	0.03820199238284302	0.6924112615359398	0.9204994073000918	0.031129414053633387	0.6225882810726677	81.2978290476345	22680.0	0.19544957787853923	0.43018933560581185	0.03270692179620431
NGCF_seed=42_e=500_bs=512_lr=0$001_factors=16_l_w=0$0001_n_layers=4_weight_size=64_node_dropout=0$1_message_dropout=0$1_normalize=True_it=500	0.05279470666191368	0.08223763499012123	0.024034562483686604	0.7741262387253122	0.844550555434779	0.061394662602548736	1.2278932520509744	80.23339116054348	23997.0	0.22717950416174648	0.277873967906698	0.021448071417295426
NGCF_seed=42_e=500_bs=512_lr=0$0005_factors=32_l_w=0$0001_n_layers=2_weight_size=64_node_dropout=0$1_message_dropout=0$1_normalize=True_it=500	0.06289836168117924	0.09465760843204511	0.028450097821600743	0.7590749316396965	0.8978184220328308	0.04011316839067415	0.802263367813483	82.25540062907359	23900.0	0.2141750956698526	0.32717713779942603	0.02507347960953701
NGCF_seed=42_e=500_bs=512_lr=0$001_factors=16_l_w=0$0001_n_layers=2_weight_size=64_node_dropout=0$1_message_dropout=0$1_normalize=True_it=500	0.04780984374170839	0.07473849626656985	0.02180537485024419	0.7994481058190085	0.8492240905470709	0.05951716981743896	1.190343396348779	82.07658646519019	23240.0	0.21673514357819168	0.25204942113531104	0.01953028928436413
NGCF_seed=42_e=500_bs=512_lr=0$001_factors=64_l_w=0$0001_n_layers=2_weight_size=64_node_dropout=0$1_message_dropout=0$1_normalize=True_it=500	0.08805332491308257	0.12392145912471672	0.039882731117175316	0.6704074798398869	0.9049773162058965	0.0372726093582801	0.745452187165602	78.29837867635136	23227.0	0.20394368881142633	0.4513370650442515	0.034125855771838735
NGCF_seed=42_e=500_bs=512_lr=0$0005_factors=64_l_w=0$0001_n_layers=2_weight_size=64_node_dropout=0$1_message_dropout=0$1_normalize=True_it=500	0.08745190348650411	0.12310340277462364	0.03948285593946007	0.6999563734796828	0.9149914147315688	0.0333068517137391	0.6661370342747819	80.0298210058692	23188.0	0.2022919417917528	0.4454386758696208	0.03378021786538813
NGCF_seed=42_e=500_bs=512_lr=0$001_factors=64_l_w=0$0001_n_layers=3_weight_size=64_node_dropout=0$1_message_dropout=0$1_normalize=True_it=500	0.08848015141033844	0.1258761285982999	0.04016737695671485	0.6653278949299031	0.8989372557767061	0.039668925710950424	0.7933785142190084	77.38687376374071	23659.0	0.21126312366539934	0.45392838966361615	0.034299368842317136
NGCF_seed=42_e=500_bs=512_lr=0$0005_factors=32_l_w=0$0001_n_layers=3_weight_size=64_node_dropout=0$1_message_dropout=0$1_normalize=True_it=500	0.06541176888000677	0.09953646297140742	0.029645828194768936	0.7302602224041657	0.8894565695208975	0.04343688187035896	0.8687376374071792	79.82430526281657	24373.0	0.22337573684972212	0.3419583032185644	0.02607061100635687
NGCF_seed=42_e=500_bs=512_lr=0$0005_factors=8_l_w=0$0001_n_layers=1_weight_size=64_node_dropout=0$1_message_dropout=0$1_normalize=True_it=500	0.03714394814670671	0.059693680581951514	0.01708633375951222	0.9001827873668714	0.898577891414337	0.039811602192029574	0.7962320438405914	119.34483122020819	14413.0	0.1013260264053224	0.1891420429197503	0.015397430421601868
NGCF_seed=42_e=500_bs=512_lr=0$001_factors=64_l_w=0$0001_n_layers=4_weight_size=64_node_dropout=0$1_message_dropout=0$1_normalize=True_it=500	0.08890563002349883	0.12570546526978274	0.04010297924553633	0.6462566344530789	0.8888575718231689	0.0436752164467071	0.8735043289341419	75.54266675313727	24385.0	0.22433872815318212	0.4554384509108662	0.034355878782558656
