model	nDCG	Recall	MAP	PopREO	PopRSP	APLT	ACLT	ARP	ItemCoverage	Gini	EFD	EPC
BPRMF_seed=42_e=500_bs=1_f=32_lr=0$0001_bias_reg=0$001_u_reg=0$1_pos_i_reg=0$0025_neg_i_reg=0$00025_up_neg_i_f=True_up_u=True_up_i=True_up_b=True_it=480	0.009313072496802152	0.010618615714448809	0.006313687241651572	1.0	1.0	0.0	0.0	179.25691793228373	12.0	0.00043973577136702247	0.046151555146003526	0.005329167135003471
BPRMF_seed=42_e=500_bs=1_f=16_lr=0$001_bias_reg=0$001_u_reg=0$1_pos_i_reg=0$0025_neg_i_reg=0$00025_up_neg_i_f=True_up_u=True_up_i=True_up_b=True_it=460	0.00956811281846427	0.010829775562295295	0.0065329060424504206	1.0	1.0	0.0	0.0	180.3860666016442	14.0	0.00042776186580306685	0.04809006823562237	0.005537404500812493
BPRMF_seed=42_e=500_bs=1_f=16_lr=0$005_bias_reg=0$001_u_reg=0$1_pos_i_reg=0$0025_neg_i_reg=0$00025_up_neg_i_f=True_up_u=True_up_i=True_up_b=True_it=40	0.00952916744583576	0.010675171004828525	0.006558450606102829	1.0	1.0	0.0	0.0	181.49828619200227	12.0	0.0004120358583565853	0.04777347254431219	0.005506844039776094
BPRMF_seed=42_e=500_bs=1_f=64_lr=0$005_bias_reg=0$001_u_reg=0$1_pos_i_reg=0$0025_neg_i_reg=0$00025_up_neg_i_f=True_up_u=True_up_i=True_up_b=True_it=500	0.009925697414975803	0.01172424230261098	0.006445822302726302	1.0	1.0	0.0	0.0	162.2710881984116	298.0	0.002085086684192161	0.050102335029712314	0.005647936361542558
BPRMF_seed=42_e=500_bs=1_f=8_lr=0$0001_bias_reg=0$001_u_reg=0$05_pos_i_reg=0$0025_neg_i_reg=0$00025_up_neg_i_f=True_up_u=True_up_i=True_up_b=True_it=320	0.009448887414824152	0.010748248594534524	0.006441874506525475	1.0	1.0	0.0	0.0	180.71738888114817	10.0	0.00041680595081694527	0.04695191083377554	0.005418121061677079
BPRMF_seed=42_e=500_bs=1_f=64_lr=0$0005_bias_reg=0$001_u_reg=0$05_pos_i_reg=0$0025_neg_i_reg=0$00025_up_neg_i_f=True_up_u=True_up_i=True_up_b=True_it=260	0.009318623074840212	0.010501777603066722	0.006310668338674469	1.0	1.0	0.0	0.0	179.91012958060472	19.0	0.0004664733217003558	0.04655977355735611	0.005372384181664069
BPRMF_seed=42_e=500_bs=1_f=8_lr=0$0001_bias_reg=0$001_u_reg=0$1_pos_i_reg=0$0025_neg_i_reg=0$00025_up_neg_i_f=True_up_u=True_up_i=True_up_b=True_it=320	0.009451140440990323	0.010748248594534524	0.0064453578561144385	1.0	1.0	0.0	0.0	180.72565138637322	10.0	0.00041665297409076985	0.04696160705116707	0.005419147390072815
BPRMF_seed=42_e=500_bs=1_f=16_lr=0$001_bias_reg=0$001_u_reg=0$05_pos_i_reg=0$0025_neg_i_reg=0$00025_up_neg_i_f=True_up_u=True_up_i=True_up_b=True_it=300	0.009485644410040045	0.010634707985313269	0.0065157215178115275	1.0	1.0	0.0	0.0	180.95868747387493	10.0	0.0004337696790477352	0.04785646894467046	0.005513534777730363
BPRMF_seed=42_e=500_bs=1_f=32_lr=0$005_bias_reg=0$001_u_reg=0$1_pos_i_reg=0$0025_neg_i_reg=0$00025_up_neg_i_f=True_up_u=True_up_i=True_up_b=True_it=20	0.009499159071128804	0.011094673491607324	0.0062978960568482656	1.0	1.0	0.0	0.0	179.65767033579493	11.0	0.00043970239462676197	0.04697197790028554	0.005413480075547345
BPRMF_seed=42_e=500_bs=1_f=64_lr=0$0001_bias_reg=0$001_u_reg=0$05_pos_i_reg=0$0025_neg_i_reg=0$00025_up_neg_i_f=True_up_u=True_up_i=True_up_b=True_it=480	0.00929803610888433	0.010520752691617135	0.006273048163113649	1.0	1.0	0.0	0.0	178.89118015884077	19.0	0.000466476103095248	0.0463816234724722	0.005353330411354925
BPRMF_seed=42_e=500_bs=1_f=64_lr=0$0001_bias_reg=0$001_u_reg=0$1_pos_i_reg=0$0025_neg_i_reg=0$00025_up_neg_i_f=True_up_u=True_up_i=True_up_b=True_it=400	0.009322186031132216	0.010584614100748157	0.00627583484278482	1.0	1.0	0.0	0.0	178.77308067437653	20.0	0.00046865949818652997	0.0464665304184594	0.005362383387190554
BPRMF_seed=42_e=500_bs=1_f=32_lr=0$001_bias_reg=0$001_u_reg=0$1_pos_i_reg=0$0025_neg_i_reg=0$00025_up_neg_i_f=True_up_u=True_up_i=True_up_b=True_it=120	0.009490417503203886	0.011066309073525755	0.006300682736519437	1.0	1.0	0.0	0.0	180.18484046258888	11.0	0.0004330938000577378	0.04700155350160764	0.005419106264152357
BPRMF_seed=42_e=500_bs=1_f=32_lr=0$005_bias_reg=0$001_u_reg=0$05_pos_i_reg=0$0025_neg_i_reg=0$00025_up_neg_i_f=True_up_u=True_up_i=True_up_b=True_it=20	0.009466109368917671	0.01102500649982803	0.0062923226975059214	1.0	1.0	0.0	0.0	179.53098787794346	14.0	0.0004427202082242232	0.04680511245196094	0.005395392267793314
BPRMF_seed=42_e=500_bs=1_f=64_lr=0$005_bias_reg=0$001_u_reg=0$05_pos_i_reg=0$0025_neg_i_reg=0$00025_up_neg_i_f=True_up_u=True_up_i=True_up_b=True_it=480	0.009458260934770589	0.011179098091937999	0.006108866285820445	1.0	1.0	0.0	0.0	153.16200362268356	474.0	0.003743023409486068	0.04782500435531798	0.00535743522826851
BPRMF_seed=42_e=500_bs=1_f=16_lr=0$0001_bias_reg=0$001_u_reg=0$05_pos_i_reg=0$0025_neg_i_reg=0$00025_up_neg_i_f=True_up_u=True_up_i=True_up_b=True_it=240	0.00948899151673109	0.010759832114199416	0.0064572012447169196	1.0	1.0	0.0	0.0	179.632144350007	12.0	0.00043425642317640456	0.04762070432658263	0.005485698094180515
BPRMF_seed=42_e=500_bs=1_f=8_lr=0$005_bias_reg=0$001_u_reg=0$1_pos_i_reg=0$0025_neg_i_reg=0$00025_up_neg_i_f=True_up_u=True_up_i=True_up_b=True_it=40	0.009603153844023502	0.01099661694935404	0.006503413682597185	1.0	1.0	0.0	0.0	181.2381496446984	10.0	0.0004085702401609437	0.04789997654346016	0.005519317529618593
BPRMF_seed=42_e=500_bs=1_f=16_lr=0$005_bias_reg=0$001_u_reg=0$05_pos_i_reg=0$0025_neg_i_reg=0$00025_up_neg_i_f=True_up_u=True_up_i=True_up_b=True_it=40	0.009553509724591899	0.010716971199896102	0.006564023965445172	1.0	1.0	0.0	0.0	181.51529887139478	13.0	0.00041316510473499157	0.047946656699770836	0.00552497265858447
BPRMF_seed=42_e=500_bs=1_f=16_lr=0$0005_bias_reg=0$001_u_reg=0$05_pos_i_reg=0$0025_neg_i_reg=0$00025_up_neg_i_f=True_up_u=True_up_i=True_up_b=True_it=500	0.009635742233760885	0.010993990614346489	0.00653035158608518	1.0	1.0	0.0	0.0	180.39942873066747	11.0	0.00042256343850965994	0.048250958502086785	0.0055539110685000875
BPRMF_seed=42_e=500_bs=1_f=8_lr=0$001_bias_reg=0$001_u_reg=0$1_pos_i_reg=0$0025_neg_i_reg=0$00025_up_neg_i_f=True_up_u=True_up_i=True_up_b=True_it=80	0.009509964192220182	0.010910804908686213	0.006447680089173749	1.0	1.0	0.0	0.0	181.07349867632723	9.0	0.00040933512379148773	0.047339727729393724	0.0054589927903909525
BPRMF_seed=42_e=500_bs=1_f=32_lr=0$0005_bias_reg=0$001_u_reg=0$1_pos_i_reg=0$0025_neg_i_reg=0$00025_up_neg_i_f=True_up_u=True_up_i=True_up_b=True_it=300	0.009418662168802362	0.010854985865128558	0.006346662951093772	1.0	1.0	0.0	0.0	180.04617528215132	12.0	0.0004363841903670673	0.04670767357157835	0.005388993939620517
BPRMF_seed=42_e=500_bs=1_f=64_lr=0$0005_bias_reg=0$001_u_reg=0$1_pos_i_reg=0$0025_neg_i_reg=0$00025_up_neg_i_f=True_up_u=True_up_i=True_up_b=True_it=280	0.009347543889609351	0.0105795724105536	0.00632506618364219	1.0	1.0	0.0	0.0	180.25602619478897	19.0	0.00046074921074779063	0.0466789041540271	0.005386059008932846
BPRMF_seed=42_e=500_bs=1_f=64_lr=0$001_bias_reg=0$001_u_reg=0$1_pos_i_reg=0$0025_neg_i_reg=0$00025_up_neg_i_f=True_up_u=True_up_i=True_up_b=True_it=500	0.009430144137362838	0.010779101119465355	0.006319028377687984	1.0	1.0	0.0	0.0	179.19991639960986	28.0	0.0005074738656993816	0.047162409060306235	0.005434562135630285
BPRMF_seed=42_e=500_bs=1_f=16_lr=0$0001_bias_reg=0$001_u_reg=0$1_pos_i_reg=0$0025_neg_i_reg=0$00025_up_neg_i_f=True_up_u=True_up_i=True_up_b=True_it=240	0.009487956037259838	0.010759832114199416	0.006453717895127955	1.0	1.0	0.0	0.0	179.64036505503697	12.0	0.00043385312089827544	0.04761106181647209	0.0054846722813003965
BPRMF_seed=42_e=500_bs=1_f=8_lr=0$005_bias_reg=0$001_u_reg=0$05_pos_i_reg=0$0025_neg_i_reg=0$00025_up_neg_i_f=True_up_u=True_up_i=True_up_b=True_it=100	0.00963038178825693	0.011051106489352848	0.006460916817611815	1.0	1.0	0.0	0.0	181.23458269471928	14.0	0.0004158574951148575	0.047900563005606994	0.005518581884544767
BPRMF_seed=42_e=500_bs=1_f=8_lr=0$0005_bias_reg=0$001_u_reg=0$1_pos_i_reg=0$0025_neg_i_reg=0$00025_up_neg_i_f=True_up_u=True_up_i=True_up_b=True_it=160	0.009469326255778015	0.010765665342479348	0.006435372253959406	1.0	1.0	0.0	0.0	180.8376759091543	9.0	0.0004162357648376247	0.04699034821637608	0.005423103655216059
BPRMF_seed=42_e=500_bs=1_f=8_lr=0$0005_bias_reg=0$001_u_reg=0$05_pos_i_reg=0$0025_neg_i_reg=0$00025_up_neg_i_f=True_up_u=True_up_i=True_up_b=True_it=180	0.009521459616152918	0.010875971412796564	0.006440248943383958	1.0	1.0	0.0	0.0	180.91182945520416	9.0	0.0004138771418601417	0.04724329071314405	0.005449286818017471
BPRMF_seed=42_e=500_bs=1_f=32_lr=0$0005_bias_reg=0$001_u_reg=0$05_pos_i_reg=0$0025_neg_i_reg=0$00025_up_neg_i_f=True_up_u=True_up_i=True_up_b=True_it=280	0.009389891883857665	0.010780041070941743	0.006336212902326876	1.0	1.0	0.0	0.0	180.02885606799506	12.0	0.00043898757610649763	0.046671725144276234	0.005385154244310005
BPRMF_seed=42_e=500_bs=1_f=32_lr=0$001_bias_reg=0$001_u_reg=0$05_pos_i_reg=0$0025_neg_i_reg=0$00025_up_neg_i_f=True_up_u=True_up_i=True_up_b=True_it=120	0.009462601877436765	0.010993158732157495	0.00629905717337792	1.0	1.0	0.0	0.0	180.10101713808	12.0	0.0004359975764592905	0.04692855000118209	0.0054109232107519
BPRMF_seed=42_e=500_bs=1_f=16_lr=0$0005_bias_reg=0$001_u_reg=0$1_pos_i_reg=0$0025_neg_i_reg=0$00025_up_neg_i_f=True_up_u=True_up_i=True_up_b=True_it=480	0.00960582866753861	0.010970768283753391	0.006512470391528493	1.0	1.0	0.0	0.0	180.48765500905677	10.0	0.0004223270199329443	0.048091294268525195	0.005537110690634649
BPRMF_seed=42_e=500_bs=1_f=8_lr=0$001_bias_reg=0$001_u_reg=0$05_pos_i_reg=0$0025_neg_i_reg=0$00025_up_neg_i_f=True_up_u=True_up_i=True_up_b=True_it=80	0.009517863851783643	0.010910804908686213	0.006460452370999953	1.0	1.0	0.0	0.0	181.06966699177937	9.0	0.00040949644470267277	0.04737923200993324	0.005463259047458695
BPRMF_seed=42_e=500_bs=1_f=32_lr=0$0001_bias_reg=0$001_u_reg=0$05_pos_i_reg=0$0025_neg_i_reg=0$00025_up_neg_i_f=True_up_u=True_up_i=True_up_b=True_it=500	0.00931612556569158	0.010618615714448809	0.006317170591240537	1.0	1.0	0.0	0.0	179.21354326320193	12.0	0.0004398359015876929	0.046161478968264065	0.005330194607074604
BPRMF_seed=42_e=500_bs=1_f=64_lr=0$001_bias_reg=0$001_u_reg=0$05_pos_i_reg=0$0025_neg_i_reg=0$00025_up_neg_i_f=True_up_u=True_up_i=True_up_b=True_it=500	0.009414620404988404	0.010689297922605992	0.006333658445961636	1.0	1.0	0.0	0.0	178.37039152849383	30.0	0.0005415848942323942	0.047165644101922886	0.005433032083348571
